description,domain,weight
Greynoise Log4j Callback Servers,ldap://f1a7f7f25a5c.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://10c100254da9.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://2996bc1fcd73.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://549d5ed68112.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://45cecd2f38ca.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://2370e1c2d398.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://d85c2be6bfca.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://a6787b91ea1d.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://c70aa274ff77.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://9ca55bea831f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://e834bd054f84.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://92ea661f16f1.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://bbca193b9665.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://9bf318db60de.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://64fbee7e40f0.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://2fff1c940e94.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://73aa4d043a06.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://c17dff990109.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://688f1d892ac3.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://e48e744f3efb.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://eca6e1900645.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,:ldap://45.83.193.150:1389/Exploit,5
Greynoise Log4j Callback Servers,ldap://19fc6578cbe2.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://9d05cb25d106.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://2bc3bfcd60fe.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://cfd644602c8c.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://f059b8f500b8.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://184dcac8da3c.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8cc8e9021b91.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://708d779bcf77.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://a40d65b21b7f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://4862f1f5c2c8.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://21010c91173b.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://71ssmbjqg7ezpoqt8okre7gzu.canarytokens.com/,5
Greynoise Log4j Callback Servers,ldap://6035a310c241.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://d2670da6a5c1.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://64a0e6a432fb.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://89108dc06d90.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://1baaa1825889.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://71b4d4928c65.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://307087f7579a.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,${lower:l}${lower:d}a${lower:p}://world80.log4j.bin${upper:a}ryedge.io:80/callback,5
Greynoise Log4j Callback Servers,${lower:l}${lower:d}a${lower:p}://log4j.bin${upper:a}ryedge.io:80/callback,5
Greynoise Log4j Callback Servers,ldap://fbc8a1502970.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://d72fe3e1e907.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8e1dab694af9.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://86dd04a76591.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8080d826c0b5.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://27a2a4c5895f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://2300703767f7.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://918d9838c5ca.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://f6a237f9f9c0.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://5a8acd64bd7b.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://e533b9b7724f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://bc73ab56138e.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://1766270cce8d.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://6f6aed93cd2f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8b51f03a2236.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://92ecd843db39.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://772c06b5ef9c.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://88875217d50a.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://4703a44fa444.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://b439b2d4f669.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://8674fcff449f.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://bc4fc2011730.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://bdafa222d03e.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://134.209.163.248:389/callback/responder,5
Greynoise Log4j Callback Servers,ldap://fe90ce6844a7.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://d3d7235315b1.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://63e16b3f6f15.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://06d102b95479.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://a7da02d6ee87.bingsearchlib.com:39356/a,5
Greynoise Log4j Callback Servers,ldap://7ce81d8d105c.bingsearchlib.com:39356/a,5
